"","country","Colonized"
"1","Afghanistan","0"
"2","Albania","0"
"3","Algeria","1"
"4","Andorra","0"
"5","Angola","1"
"6","Antigua & Barbuda","1"
"7","Argentina","1"
"8","Armenia","0"
"9","Australia","1"
"10","Austria","0"
"11","Azerbaijan","0"
"12","Bahamas","1"
"13","Bahrain","1"
"14","Bangladesh","1"
"15","Barbados","1"
"16","Belarus","0"
"17","Belgium","0"
"18","Belize","1"
"19","Benin","1"
"20","Bhutan","1"
"21","Bolivia","1"
"22","Bosnia & Herzegovina","0"
"23","Botswana","1"
"24","Brazil","1"
"25","Brunei","1"
"26","Bulgaria","0"
"27","Burkina Faso","1"
"28","Burundi","1"
"29","Cambodia","1"
"30","Cameroon","1"
"31","Canada","1"
"32","Cape Verde","1"
"33","Central African Republic","1"
"34","Chad","1"
"35","Chile","1"
"36","China","0"
"37","Colombia","1"
"38","Comoros","1"
"39","Congo - Brazzaville","1"
"40","Congo - Kinshasa","1"
"41","Costa Rica","1"
"42","Côte d’Ivoire","1"
"43","Croatia","0"
"44","Cuba","1"
"45","Cyprus","1"
"46","Czechia","0"
"47","Denmark","0"
"48","Djibouti","1"
"49","Dominica","1"
"50","Dominican Republic","1"
"51","Ecuador","1"
"52","Egypt","1"
"53","El Salvador","1"
"54","Equatorial Guinea","1"
"55","Eritrea","1"
"56","Estonia","0"
"57","Eswatini","1"
"58","Ethiopia","0"
"59","Fiji","1"
"60","Finland","0"
"61","France","0"
"62","Gabon","1"
"63","Gambia","1"
"64","Georgia","0"
"65","Germany","0"
"66","Ghana","1"
"67","Greece","0"
"68","Grenada","1"
"69","Guatemala","1"
"70","Guinea","1"
"71","Guinea-Bissau","1"
"72","Guyana","1"
"73","Haiti","1"
"74","Honduras","1"
"75","Hungary","0"
"76","Iceland","0"
"77","India","1"
"78","Indonesia","1"
"79","Iran","0"
"80","Iraq","1"
"81","Ireland","0"
"82","Israel","1"
"83","Italy","0"
"84","Jamaica","1"
"85","Japan","0"
"86","Jordan","1"
"87","Kazakhstan","0"
"88","Kenya","1"
"89","Kiribati","1"
"90","Kosovo","0"
"91","Kuwait","1"
"92","Kyrgyzstan","0"
"93","Laos","1"
"94","Latvia","0"
"95","Lebanon","1"
"96","Lesotho","1"
"97","Liberia","0"
"98","Libya","1"
"99","Liechtenstein","0"
"100","Lithuania","0"
"101","Luxembourg","0"
"102","Madagascar","1"
"103","Malawi","1"
"104","Malaysia","1"
"105","Maldives","1"
"106","Mali","1"
"107","Malta","0"
"108","Marshall Islands","1"
"109","Mauritania","1"
"110","Mauritius","1"
"111","Mexico","1"
"112","Micronesia (Federated States of)","1"
"113","Moldova","0"
"114","Monaco","0"
"115","Mongolia","0"
"116","Montenegro","0"
"117","Morocco","1"
"118","Mozambique","1"
"119","Myanmar (Burma)","1"
"120","Namibia","1"
"121","Nauru","1"
"122","Nepal","0"
"123","Netherlands","0"
"124","New Zealand","1"
"125","Nicaragua","1"
"126","Niger","1"
"127","Nigeria","1"
"128","North Korea","0"
"129","North Macedonia","0"
"130","Norway","0"
"131","Oman","0"
"132","Pakistan","1"
"133","Palau","1"
"134","Panama","1"
"135","Papua New Guinea","1"
"136","Paraguay","1"
"137","Peru","1"
"138","Philippines","1"
"139","Poland","0"
"140","Portugal","0"
"141","Qatar","1"
"142","Romania","0"
"143","Russia","0"
"144","Rwanda","1"
"145","Samoa","1"
"146","San Marino","0"
"147","São Tomé & Príncipe","1"
"148","Saudi Arabia","0"
"149","Senegal","1"
"150","Serbia","0"
"151","Seychelles","1"
"152","Sierra Leone","1"
"153","Singapore","1"
"154","Slovakia","0"
"155","Slovenia","0"
"156","Solomon Islands","1"
"157","Somalia","1"
"158","South Africa","1"
"159","South Korea","0"
"160","South Sudan","0"
"161","Spain","0"
"162","Sri Lanka","1"
"163","St. Kitts & Nevis","1"
"164","St. Lucia","1"
"165","St. Vincent & Grenadines","1"
"166","Sudan","1"
"167","Suriname","1"
"168","Sweden","0"
"169","Switzerland","0"
"170","Syria","1"
"171","Taiwan","0"
"172","Tajikistan","0"
"173","Tanzania","1"
"174","Thailand","0"
"175","Timor-Leste","1"
"176","Togo","1"
"177","Tonga","1"
"178","Trinidad & Tobago","1"
"179","Tunisia","1"
"180","Turkey","0"
"181","Turkmenistan","0"
"182","Tuvalu","1"
"183","Uganda","1"
"184","Ukraine","0"
"185","United Arab Emirates","1"
"186","United Kingdom","0"
"187","United States","1"
"188","Uruguay","1"
"189","Uzbekistan","0"
"190","Vanuatu","1"
"191","Venezuela","1"
"192","Vietnam","1"
"193","Yemen","1"
"194","Zambia","1"
"195","Zimbabwe","1"
