"","Country","Colonized","Buddhists","Christians","Muslims","Legalized"
"1","Afghanistan",0,0,0,100,0
"2","Albania",0,0,16.7,82.1,0
"3","Algeria",1,0,0,97.9,0
"4","American Samoa",NA,0,98.3,0,0
"5","Andorra",0,0,89.5,0,1
"6","Angola",1,0,90.5,0,0
"7","Anguilla",NA,0,90.6,0,0
"8","Antigua & Barbuda",1,NA,NA,NA,NA
"9","Antigua and Barbuda",NA,0,93,0,0
"10","Argentina",1,0,85.4,0,1
"11","Armenia",0,0,98.3,0,0
"12","Aruba",NA,0,91.6,0,0
"13","Australia",1,2.9,61.7,3,1
"14","Austria",0,0,78.4,6.2,1
"15","Azerbaijan",0,0,2.6,97.3,0
"16","Bahamas",1,0,96.2,0,0
"17","Bahrain",1,3.1,14.1,69.7,0
"18","Bangladesh",1,0,0,90.8,0
"19","Barbados",1,0,95.2,0,0
"20","Belarus",0,0,70.7,0,0
"21","Belgium",0,0,60.5,7.5,1
"22","Belize",1,0,87.6,0,0
"23","Benin",1,0,52.2,24.6,0
"24","Bermuda",NA,0,75,1.1,0
"25","Bhutan",1,74.7,0,0,0
"26","Bolivia",1,0,94,0,0
"27","Bosnia & Herzegovina",0,NA,NA,NA,NA
"28","Bosnia-Herzegovina",NA,0,51.1,46.5,0
"29","Botswana",1,0,76.4,0,0
"30","Brazil",1,0,88.1,0,1
"31","British Virgin Islands",NA,0,84.5,1.2,0
"32","Brunei",1,8.6,9.4,75.1,0
"33","Bulgaria",0,0,81,14.2,0
"34","Burkina Faso",1,0,21.7,62.7,0
"35","Burma (Myanmar)",NA,79.8,7.8,4.2,0
"36","Burundi",1,0,91,2.9,0
"37","Cambodia",1,96.8,0,2,0
"38","Cameroon",1,0,69.6,19.3,0
"39","Canada",1,1,66.4,2.8,1
"40","Cape Verde",1,0,89.3,0,0
"41","Caribbean Netherlands",NA,0,93.9,0,0
"42","Cayman Islands",NA,0,83.5,0,0
"43","Central African Republic",1,0,89,9,0
"44","Chad",1,0,41.1,55.1,0
"45","Channel Islands",NA,0,85.2,0,0
"46","Chile",1,0,88.3,0,1
"47","China",0,18.3,5.2,2,0
"48","Colombia",1,0,92.3,0,1
"49","Comoros",1,0,0,98.3,0
"50","Congo - Brazzaville",1,NA,NA,NA,NA
"51","Congo - Kinshasa",1,NA,NA,NA,NA
"52","Cook Islands",NA,0,96,0,0
"53","Costa Rica",1,0,90.8,0,1
"54","Côte d’Ivoire",1,NA,NA,NA,NA
"55","Croatia",0,0,93.3,1.6,0
"56","Cuba",1,0,58.9,0,1
"57","Curacao",NA,0,93.9,0,0
