Country,Buddhists,Christians,Muslims
Afghanistan,0.00,0.00,100.00
Albania,0.00,16.70,82.10
Algeria,0.00,0.00,97.90
American Samoa,0.00,98.30,0.00
Andorra,0.00,89.50,0.00
Angola,0.00,90.50,0.00
Anguilla,0.00,90.60,0.00
Antigua and Barbuda,0.00,93.00,0.00
Argentina,0.00,85.40,0.00
Armenia,0.00,98.30,0.00
Aruba,0.00,91.60,0.00
Australia,2.90,61.70,3.00
Austria,0.00,78.40,6.20
Azerbaijan,0.00,2.60,97.30
Bahamas,0.00,96.20,0.00
Bahrain,3.10,14.10,69.70
Bangladesh,0.00,0.00,90.80
Barbados,0.00,95.20,0.00
Belarus,0.00,70.70,0.00
Belgium,0.00,60.50,7.50
Belize,0.00,87.60,0.00
Benin,0.00,52.20,24.60
Bermuda,0.00,75.00,1.10
Bhutan,74.70,0.00,0.00
Bolivia,0.00,94.00,0.00
Bosnia-Herzegovina,0.00,51.10,46.50
Botswana,0.00,76.40,0.00
Brazil,0.00,88.10,0.00
British Virgin Islands,0.00,84.50,1.20
Brunei,8.60,9.40,75.10
Bulgaria,0.00,81.00,14.20
Burkina Faso,0.00,21.70,62.70
Burundi,0.00,91.00,2.90
Cambodia,96.80,0.00,2.00
Cameroon,0.00,69.60,19.30
Canada,1.00,66.40,2.80
Cape Verde,0.00,89.30,0.00
Cayman Islands,0.00,83.50,0.00
Central African Republic,0.00,89.00,9.00
Chad,0.00,41.10,55.10
Channel Islands,0.00,85.20,0.00
Chile,0.00,88.30,0.00
China,18.30,5.20,2.00
Colombia,0.00,92.30,0.00
Comoros,0.00,0.00,98.30
Republic of the Congo,0.00,87.10,1.20
Democratic Republic of the Congo,0.00,95.80,1.50
Cook Islands,0.00,96.00,0.00
Costa Rica,0.00,90.80,0.00
Ivory Coast,0.00,44.00,37.20
Croatia,0.00,93.30,1.60
Cuba,0.00,58.90,0.00
Cyprus,0.00,72.30,25.00
Czech Republic,0.00,20.90,0.00
Denmark,0.00,81.90,5.10
Djibouti,0.00,2.30,96.90
Dominica,0.00,94.40,0.00
Dominican Republic,0.00,88.00,0.00
Ecuador,0.00,94.00,0.00
Egypt,0.00,4.70,95.30
El Salvador,0.00,88.00,0.00
Equatorial Guinea,0.00,88.70,4.00
Eritrea,0.00,62.90,36.60
Estonia,0.00,39.30,0.00
Ethiopia,0.00,61.90,35.90
Faeroe Islands,0.00,98.00,0.00
Falkland Islands (Malvinas),0.00,67.20,0.00
Fiji,0.00,64.40,6.30
Finland,0.00,77.70,1.30
France,0.00,58.10,8.30
French Guiana,0.00,84.00,1.30
French Polynesia,0.00,94.00,0.00
Gabon,0.00,75.60,12.20
Gambia,0.00,4.20,95.30
Georgia,0.00,87.60,11.60
Germany,0.00,66.00,6.90
Ghana,0.00,73.60,17.50
Gibraltar,0.00,88.80,4.00
Greece,0.00,87.60,5.90
Greenland,0.00,96.10,0.00
Grenada,0.00,96.60,0.00
Guadeloupe,0.00,95.90,0.00
Guam,1.10,94.20,0.00
Guatemala,0.00,95.30,0.00
Guinea,0.00,10.80,84.60
Guinea-Bissau,0.00,18.90,46.10
Guyana,0.00,67.90,6.10
Haiti,0.00,87.00,0.00
Vatican City,0.00,100.00,0.00
Honduras,0.00,87.50,0.00
Hong Kong,13.30,14.90,2.10
Hungary,0.00,79.30,0.00
Iceland,0.00,94.00,0.00
India,0.00,2.40,15.40
Indonesia,0.00,10.20,87.00
Iran,0.00,0.00,100.00
Iraq,0.00,0.00,100.00
Ireland,0.00,89.70,1.50
Isle of Man,0.00,84.10,0.00
Israel,0.00,2.00,20.10
Italy,0.00,80.80,4.90
Jamaica,0.00,77.30,0.00
Japan,33.20,1.80,0.00
Jordan,0.00,2.10,97.10
Kazakhstan,0.00,23.10,72.00
Kenya,0.00,84.50,10.50
Kiribati,0.00,97.00,0.00
Kosovo,0.00,5.60,94.30
Kuwait,5.40,13.60,70.70
Kyrgyzstan,0.00,10.00,89.40
Laos,64.00,1.50,0.00
Latvia,0.00,54.30,0.00
Lebanon,0.00,38.40,61.20
Lesotho,0.00,97.00,0.00
Liberia,0.00,86.20,11.70
Libya,0.00,2.70,96.60
Liechtenstein,0.00,91.90,5.00
Lithuania,0.00,89.90,0.00
Luxembourg,0.00,70.60,2.30
Macau,17.30,7.20,0.00
Republic of Macedonia,0.00,55.10,43.60
Madagascar,0.00,84.70,3.10
Malawi,0.00,83.40,12.80
Malaysia,15.70,9.40,66.10
Maldives,0.00,0.00,98.40
Mali,0.00,2.40,94.60
Malta,0.00,97.00,0.00
Marshall Islands,0.00,97.50,0.00
Martinique,0.00,96.50,0.00
Mauritania,0.00,0.00,100.00
Mauritius,0.00,32.80,17.40
Mayotte,0.00,0.00,98.60
Mexico,0.00,94.10,0.00
Federated States of Micronesia,0.00,95.30,0.00
Moldova,0.00,97.40,0.00
Monaco,0.00,86.00,0.00
Mongolia,54.40,2.30,3.40
Montenegro,0.00,76.60,20.30
Montserrat,0.00,93.50,0.00
Morocco,0.00,0.00,100.00
Mozambique,0.00,57.80,17.20
Burma (Myanmar),79.80,7.80,4.20
Namibia,0.00,97.50,0.00
Nauru,1.10,79.00,0.00
Nepal,10.00,0.00,5.00
Netherlands,0.00,47.30,6.90
New Caledonia,0.00,85.20,2.80
New Zealand,1.90,52.90,1.60
Nicaragua,0.00,85.30,0.00
Niger,0.00,0.00,98.30
Nigeria,0.00,46.90,51.10
Niue,0.00,96.40,0.00
North Korea,1.50,2.00,0.00
Northern Mariana Islands,10.60,81.30,0.00
Norway,0.00,81.70,4.90
Oman,0.00,6.40,85.90
Pakistan,0.00,1.60,96.50
Palau,0.00,86.70,0.00
Palestinian territories,0.00,2.00,97.90
Panama,0.00,92.70,0.00
Papua New Guinea,0.00,100.00,0.00
Paraguay,0.00,96.90,0.00
Peru,0.00,95.40,0.00
Philippines,0.00,92.40,5.70
Poland,0.00,92.50,0.00
Portugal,0.00,90.50,0.00
Puerto Rico,0.00,96.50,0.00
Qatar,3.80,13.70,65.20
Reunion,0.00,87.60,4.20
Romania,0.00,100.00,0.00
Russia,0.00,72.90,11.40
Rwanda,0.00,93.80,2.20
St. Helena,0.00,96.50,0.00
St. Kitts and Nevis,0.00,94.60,0.00
St. Lucia,0.00,91.50,0.00
St. Pierre and Miquelon,0.00,94.70,0.00
St. Vincent and the Grenadines,0.00,88.70,1.50
Samoa,0.00,96.90,0.00
San Marino,0.00,91.60,0.00
Sao Tome and Principe,0.00,81.10,0.00
Saudi Arabia,0.00,4.40,92.70
Senegal,0.00,3.30,96.60
Serbia,0.00,91.60,5.00
Seychelles,0.00,94.00,1.10
Sierra Leone,0.00,20.40,78.50
Singapore,32.20,17.70,16.10
Slovakia,0.00,83.60,0.00
Slovenia,0.00,77.20,3.90
Solomon Islands,0.00,97.40,0.00
Somalia,0.00,0.00,100.00
South Africa,0.00,80.80,1.90
South Korea,21.90,30.10,0.00
Spain,0.00,75.20,3.30
Sri Lanka,68.60,7.20,10.40
Sudan,0.00,5.40,90.70
Suriname,0.00,52.30,14.30
Swaziland,0.00,88.70,0.00
Sweden,0.00,63.00,6.50
Switzerland,0.00,70.00,5.60
Syria,0.00,5.20,92.80
Taiwan,21.20,5.80,0.00
Tajikistan,0.00,1.80,96.40
Tanzania,0.00,63.10,34.10
Thailand,92.60,0.00,6.00
Timor-Leste,0.00,100.00,0.00
Togo,0.00,42.30,14.00
Tokelau,0.00,100.00,0.00
Tonga,0.00,98.90,0.00
Trinidad and Tobago,0.00,66.30,5.80
Tunisia,0.00,0.00,100.00
Turkey,0.00,0.00,98.00
Turkmenistan,0.00,6.40,93.00
Turks and Caicos Islands,0.00,92.10,0.00
Tuvalu,0.00,96.70,0.00
Uganda,0.00,86.10,12.10
Ukraine,0.00,85.60,1.70
United Arab Emirates,2.40,12.90,75.00
United Kingdom,0.00,59.10,6.10
United States,1.20,75.50,1.10
U.S. Virgin Islands,0.00,94.80,0.00
Uruguay,0.00,57.00,0.00
Uzbekistan,0.00,2.00,97.10
Vanuatu,0.00,93.50,0.00
Venezuela,0.00,89.50,0.00
Vietnam,16.20,8.40,0.00
Wallis and Futuna,0.00,97.40,0.00
Western Sahara,0.00,0.00,100.00
Yemen,0.00,0.00,100.00
Zambia,0.00,97.40,0.00
Zimbabwe,0.00,87.10,0.00
South Sudan,0.00,60.50,6.20
Curacao,0.00,93.90,0.00
Sint Maarten,0.00,93.90,0.00
Caribbean Netherlands,0.00,93.90,0.00
