row_number,level,Nation_fk,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
249,1,1,2020,Asia-Pacific,Afghanistan,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
250,1,2,2020,Europe,Albania,0.00,16.70,0.00,0.00,0.00,82.10,0.00,0.00
251,1,3,2020,Middle East-North Africa,Algeria,0.00,0.00,0.00,0.00,0.00,97.90,0.00,1.80
252,1,4,2020,Asia-Pacific,American Samoa,0.00,98.30,0.00,0.00,0.00,0.00,0.00,0.00
253,1,5,2020,Europe,Andorra,0.00,89.50,0.00,0.00,0.00,0.00,0.00,8.80
254,1,6,2020,Sub-Saharan Africa,Angola,0.00,90.50,4.20,0.00,0.00,0.00,0.00,5.20
255,1,7,2020,Latin America-Caribbean,Anguilla,0.00,90.60,2.90,0.00,0.00,0.00,1.60,4.00
256,1,8,2020,Latin America-Caribbean,Antigua and Barbuda,0.00,93.00,3.60,0.00,0.00,0.00,0.00,1.70
257,1,9,2020,Latin America-Caribbean,Argentina,0.00,85.40,0.00,0.00,0.00,0.00,0.00,12.10
258,1,10,2020,Asia-Pacific,Armenia,0.00,98.30,0.00,0.00,0.00,0.00,0.00,1.30
259,1,11,2020,Latin America-Caribbean,Aruba,0.00,91.60,1.30,0.00,0.00,0.00,0.00,6.20
260,1,12,2020,Asia-Pacific,Australia,2.90,61.70,0.00,1.70,0.00,3.00,0.00,28.60
261,1,13,2020,Europe,Austria,0.00,78.40,0.00,0.00,0.00,6.20,0.00,14.50
262,1,14,2020,Asia-Pacific,Azerbaijan,0.00,2.60,0.00,0.00,0.00,97.30,0.00,0.00
263,1,15,2020,Latin America-Caribbean,Bahamas,0.00,96.20,0.00,0.00,0.00,0.00,0.00,3.00
264,1,16,2020,Middle East-North Africa,Bahrain,3.10,14.10,0.00,10.20,0.00,69.70,0.00,2.00
265,1,17,2020,Asia-Pacific,Bangladesh,0.00,0.00,0.00,8.20,0.00,90.80,0.00,0.00
266,1,18,2020,Latin America-Caribbean,Barbados,0.00,95.20,0.00,0.00,0.00,0.00,1.40,1.90
267,1,19,2020,Europe,Belarus,0.00,70.70,0.00,0.00,0.00,0.00,0.00,28.60
268,1,20,2020,Europe,Belgium,0.00,60.50,0.00,0.00,0.00,7.50,0.00,31.00
269,1,21,2020,Latin America-Caribbean,Belize,0.00,87.60,1.50,0.00,1.10,0.00,0.00,9.00
270,1,22,2020,Sub-Saharan Africa,Benin,0.00,52.20,17.90,0.00,0.00,24.60,0.00,5.20
271,1,23,2020,North America,Bermuda,0.00,75.00,3.00,0.00,0.00,1.10,0.00,19.40
272,1,24,2020,Asia-Pacific,Bhutan,74.70,0.00,1.90,22.50,0.00,0.00,0.00,0.00
273,1,25,2020,Latin America-Caribbean,Bolivia,0.00,94.00,0.00,0.00,0.00,0.00,0.00,4.10
274,1,26,2020,Europe,Bosnia-Herzegovina,0.00,51.10,0.00,0.00,0.00,46.50,0.00,2.40
275,1,27,2020,Sub-Saharan Africa,Botswana,0.00,76.40,4.40,0.00,0.00,0.00,0.00,17.50
276,1,28,2020,Latin America-Caribbean,Brazil,0.00,88.10,3.20,0.00,0.00,0.00,0.00,8.40
277,1,29,2020,Latin America-Caribbean,British Virgin Islands,0.00,84.50,8.40,1.20,0.00,1.20,0.00,3.90
278,1,30,2020,Asia-Pacific,Brunei,8.60,9.40,6.20,0.00,0.00,75.10,0.00,0.00
279,1,31,2020,Europe,Bulgaria,0.00,81.00,0.00,0.00,0.00,14.20,0.00,4.70
280,1,32,2020,Sub-Saharan Africa,Burkina Faso,0.00,21.70,15.10,0.00,0.00,62.70,0.00,0.00
281,1,33,2020,Sub-Saharan Africa,Burundi,0.00,91.00,6.00,0.00,0.00,2.90,0.00,0.00
