"Country.Name","Country.Code","Year.x","Ease.of.Doing.Business","Education.Expenditure....GDP.","GDP","Health.Expenditure....GDP.","Inflation.Rate","Unemployment","Education.Expenditure","GDP.Per.Capita","Population.Density","Democracy.score","Buddhists","Christians","Muslims","year","ht_colonial"
"Afghanistan","AFG",2020,40.717968,10.2538604736328,20143451705.7548,15.53361392,6.12461993629119,11.71,2065481432.4817,516.866797351724,59.69462059247,2.85,0,0,100,2020,0
"Albania","ALB",2020,64.76366,12.0699996948242,15162734205.2462,6.09339224578947,1.62088661717004,13.067,1830141972.30022,5343.0377039956,98.7077913043478,6.08,0,16.7,82.1,2020,0
"Algeria","DZA",2020,46.736176,16.5491905212402,145743722826.258,6.32117987,2.41513094083414,12.248,24119406363.2657,3354.15730265113,18.2436570559099,3.77,0,0,97.9,2020,1
"Angola","AGO",2020,39.344634,6.46722984313965,50241368243.6314,2.91183472,22.2715643068877,10.35,3249224760.65382,1502.95075414517,26.8135766423358,3.66,0,90.5,0,2020,1
"Argentina","ARG",2020,57.686538,11.9168996810913,385540406815.599,9.98438072,NA,11.46,45944463510.2862,8496.42815675501,16.3202283844051,6.95,0,85.4,0,2020,1
"Armenia","ARM",2020,71.79071,8.82777976989746,12641698593.7908,12.24103546,1.21143577838465,12.18,1115981311.03408,4505.86774552639,94.337861466039,5.35,0,98.3,0,2020,0
"Armenia","ARM",2020,71.79071,8.82777976989746,12641698593.7908,12.24103546,1.21143577838465,12.18,1115981311.03408,4505.86774552639,94.337861466039,5.35,0,98.3,0,2020,0
"Australia","AUS",2020,80.657646,14.4300003051758,1326944627876.87,10.6489954,0.846905537459293,6.46,191478113852.146,51722.0690001531,3.31411444190967,8.96,2.9,61.7,3,2020,0
"Austria","AUT",2020,78.773098,8.89000034332275,435225238000.43,11.47426033,1.38191063351859,5.36,38691525152.4655,48809.2268762235,106.306274514479,8.16,0,78.4,6.2,2020,0
"Azerbaijan","AZE",2020,69.973916,10.5025300979614,4.2693e+10,4.60676527,2.75980947008126,7.16,4483845174.72266,4229.91064904503,116.548741339492,2.68,0,2.6,97.3,2020,0
"Azerbaijan","AZE",2020,69.973916,10.5025300979614,4.2693e+10,4.60676527,2.75980947008126,7.16,4483845174.72266,4229.91064904503,116.548741339492,2.68,0,2.6,97.3,2020,0
"Bahrain","BHR",2020,70.123204,9.36690330505371,34621807712.766,4.72300106,-2.31770629331374,1.674,3242991250.91642,23433.1872362574,1882.12611464968,2.49,3.1,14.1,69.7,2020,1
"Bangladesh","BGD",2020,42.200396,10.3874378204346,373902196399.317,2.6280098,5.69107474746207,5.209,38838858160.2183,2233.3058925183,1134.51887917598,5.99,0,0,90.8,2020,1
"Belarus","BLR",2020,72.714854,12.7811498641968,61371755326.2351,6.40607214,5.54814357456515,4.05,7844016022.53429,6542.8645398436,45.1806367708685,2.59,0,70.7,0,2020,0
"Belgium","BEL",2020,73.350558,11.1899995803833,525213067068.319,11.06453228,0.740791812220385,5.55,58771340001.0632,45517.9038182018,377.94313789715,7.51,0,60.5,7.5,2020,0
"Benin","BEN",2020,50.81442,18.9532886304353,15651545208.8771,2.5893681,3.02272119663756,1.671,2966482538.56155,1237.94929535029,110.170120250959,4.58,0,52.2,24.6,2020,1
"Bhutan","BTN",2020,65.512594,17.7084941864014,2325185520.59339,4.37174511,5.62936522632514,5.03,411755342.737328,3009.92551590977,20.1225840062516,5.71,74.7,0,0,2020,1
"Bolivia","BOL",2020,50.835038,14.1999998092651,36629843806.0781,7.857059,0.940742153381823,7.9,5201437750.59719,3068.81255516456,10.865082197018,5.08,0,94,0,NA,NA
"Bosnia and Herzegovina","BIH",2020,65.005126,NA,20226030731.0131,9.8411274,-1.05129600763481,15.265,NA,6095.10247869327,64.799980472564,4.84,NA,NA,NA,2020,0
"Botswana","BWA",2020,65.840802,15.5031461715698,14960291540.5283,6.18664551,1.89035916824198,21.02,2319315865.22109,5875.0706057128,4.37729187079917,7.62,0,76.4,0,2020,1
"Brazil","BRA",2020,56.827378,13.9361851340846,1476107292036.59,10.31291676,3.21176803803379,13.93,205713044995.942,6923.70019715065,25.0354699575024,6.92,0,88.1,0,2020,1
"Bulgaria","BGR",2020,71.905592,9.55000019073486,70404359049.232,8.52063847,1.67244096855762,5.12,6723616423.48731,10153.4766003869,62.4686036036036,6.71,0,81,14.2,2020,0
"Burkina Faso","BFA",2020,51.078568,21.1117172241211,17933606212.6294,6.71932602,1.88443993781985,5.055,3786092231.69773,833.244336106077,78.4867113996062,3.73,0,21.7,62.7,2020,1
"Burundi","BDI",2020,46.08327,20.7419490814209,2649680261.01097,6.50141716,7.32110643415513,1.03,549595330.559356,216.827417445762,439.102659001078,2.14,0,91,2.9,2020,1
"Cambodia","KHM",2020,53.412624,17.1683502197266,25872797892.0285,7.50527,2.94029514263973,0.298,4441932553.7455,1577.91173993243,90.5703711886876,3.1,96.8,0,2,2020,1
"Cameroon","CMR",2020,44.163128,14.3899097442627,40773241211.6941,3.76582599,2.43760882182242,3.947,5867232610.1733,1539.13054650019,55.7190959952886,2.77,0,69.6,19.3,2020,1
"Canada","CAN",2020,79.583546,10,1647598402302.68,12.93967533,0.716999632307852,9.46,164759840230.268,43349.677855557,3.84697649232015,9.24,1,66.4,2.8,2020,0
"Central African Republic","CAF",2020,33.344162,9.78244018554688,2326720902.35741,9.40206814,1.71015659523149,6.38,227610080.55773,435.469248170026,8.5765514141706,1.32,0,89,9,NA,NA
"Chad","TCD",2020,36.086084,11.6715097427368,10715396051.4388,5.40748835,4.46414437232863,1.645,1250648494.11651,643.772216241001,12.9631627725857,1.55,0,41.1,55.1,2020,1
"Chile","CHL",2020,71.9217,18.5093387804533,254096103516.324,9.75300503,3.04549084804331,11.14,47031508627.7678,13165.3863429858,25.505900621118,8.28,0,88.3,0,2020,1
"Chile","CHL",2020,71.9217,18.5093387804533,254096103516.324,9.75300503,3.04549084804331,11.14,47031508627.7678,13165.3863429858,25.505900621118,8.28,0,88.3,0,2020,1
"China","CHN",2020,68.171342,10.5299997329712,14687743556969.6,5.59359694,2.4194218945778,5,1546619357328.39,10408.7191247747,146.989385816346,2.27,18.3,5.2,2,2020,0
"Colombia","COL",2020,69.272522,14.7466297149658,270150956772.567,8.99294186,2.52663500084712,15.04,39838161266.6878,5304.28912886636,44.6517722108885,7.04,0,92.3,0,2020,1
"Comoros","COM",2020,46.875728,19.0349941253662,1225039195.93744,5.34622765,3.19199899663549,9.032,233186138.980125,1519.58677981637,433.189682966147,3.09,0,0,98.3,NA,NA
"Costa Rica","CRI",2020,68.544866,21.5394802093506,62395610764.0705,7.855371,0.724911478131358,16.43,13439690232.0304,12179.2566742377,100.256457925636,8.16,0,90.8,0,2020,1
"Cote d'Ivoire","CIV",2020,54.661344,15.0821800231934,62982768371.5174,3.72245775,2.42500656821829,2.66,9499174509.38317,2349.06988200032,83.1476462196862,4.11,NA,NA,NA,2020,1
