"Country.Name","Country.Code","Education.Expenditure....GDP.","GDP","Health.Expenditure....GDP.","GDP.Per.Capita","Democracy.score","Buddhists","Christians","Muslims","ht_colonial","Legalized"
"Afghanistan","AFG",10.2538604736328,20143451705.7548,15.53361392,516.866797351724,2.85,0,0,100,0,0
"Albania","ALB",12.0699996948242,15162734205.2462,6.09339224578947,5343.0377039956,6.08,0,16.7,82.1,0,0
"Algeria","DZA",16.5491905212402,145743722826.258,6.32117987,3354.15730265113,3.77,0,0,97.9,1,0
"Angola","AGO",6.46722984313965,50241368243.6314,2.91183472,1502.95075414517,3.66,0,90.5,0,1,0
"Argentina","ARG",11.9168996810913,385540406815.599,9.98438072,8496.42815675501,6.95,0,85.4,0,1,1
"Armenia","ARM",8.82777976989746,12641698593.7908,12.24103546,4505.86774552639,5.35,0,98.3,0,0,0
"Armenia","ARM",8.82777976989746,12641698593.7908,12.24103546,4505.86774552639,5.35,0,98.3,0,0,0
"Australia","AUS",14.4300003051758,1326944627876.87,10.6489954,51722.0690001531,8.96,2.9,61.7,3,0,1
"Austria","AUT",8.89000034332275,435225238000.43,11.47426033,48809.2268762235,8.16,0,78.4,6.2,0,1
"Azerbaijan","AZE",10.5025300979614,4.2693e+10,4.60676527,4229.91064904503,2.68,0,2.6,97.3,0,0
"Azerbaijan","AZE",10.5025300979614,4.2693e+10,4.60676527,4229.91064904503,2.68,0,2.6,97.3,0,0
"Bahrain","BHR",9.36690330505371,34621807712.766,4.72300106,23433.1872362574,2.49,3.1,14.1,69.7,1,0
"Bangladesh","BGD",10.3874378204346,373902196399.317,2.6280098,2233.3058925183,5.99,0,0,90.8,1,0
"Belarus","BLR",12.7811498641968,61371755326.2351,6.40607214,6542.8645398436,2.59,0,70.7,0,0,0
"Belgium","BEL",11.1899995803833,525213067068.319,11.06453228,45517.9038182018,7.51,0,60.5,7.5,0,1
"Benin","BEN",18.9532886304353,15651545208.8771,2.5893681,1237.94929535029,4.58,0,52.2,24.6,1,0
"Bhutan","BTN",17.7084941864014,2325185520.59339,4.37174511,3009.92551590977,5.71,74.7,0,0,1,0
"Bolivia","BOL",14.1999998092651,36629843806.0781,7.857059,3068.81255516456,5.08,0,94,0,1,0
"Bosnia and Herzegovina","BIH",3.02,20226030731.0131,9.8411274,6095.10247869327,4.84,0,51.1,46.5,0,0
"Botswana","BWA",15.5031461715698,14960291540.5283,6.18664551,5875.0706057128,7.62,0,76.4,0,1,0
"Brazil","BRA",13.9361851340846,1476107292036.59,10.31291676,6923.70019715065,6.92,0,88.1,0,1,1
"Bulgaria","BGR",9.55000019073486,70404359049.232,8.52063847,10153.4766003869,6.71,0,81,14.2,0,0
"Burkina Faso","BFA",21.1117172241211,17933606212.6294,6.71932602,833.244336106077,3.73,0,21.7,62.7,1,0
"Burundi","BDI",20.7419490814209,2649680261.01097,6.50141716,216.827417445762,2.14,0,91,2.9,1,0
"Cambodia","KHM",17.1683502197266,25872797892.0285,7.50527,1577.91173993243,3.1,96.8,0,2,1,0
"Cameroon","CMR",14.3899097442627,40773241211.6941,3.76582599,1539.13054650019,2.77,0,69.6,19.3,1,0
